week_start_date,sku_id,brand,category,channel,region,sell_out_units,sell_in_units,promo_flag,discount_depth,net_sales_value,gross_sales_value,gross_margin,stock_on_hand,out_of_stock_flag,returns_units
2025-01-06,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.828,101.825,False,0,998.28,1197.936,299.484,200,False,0
2025-01-06,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.331,91.118,False,0,893.31,1071.972,267.993,200,False,0
2025-01-13,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,101.974,104.013,False,0,1019.74,1223.688,305.922,200,False,0
2025-01-13,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.854,93.691,False,0,918.54,1102.248,275.562,200,False,0
2025-01-20,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.863,100.84,False,0,988.63,1186.356,296.589,200,False,0
2025-01-20,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.596,93.428,False,0,915.96,1099.152,274.788,200,False,0
2025-01-27,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.87,100.847,False,0,988.7,1186.44,296.61,200,False,0
2025-01-27,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.408,93.236,False,0,914.08,1096.896,274.224,200,False,0
2025-02-03,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,101.598,103.63,False,0,1015.98,1219.176,304.794,200,False,0
2025-02-03,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.166,90.949,False,0,891.66,1069.992,267.498,200,False,0
2025-02-10,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.453,100.422,False,0,984.53,1181.436,295.359,200,False,0
2025-02-10,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,90.197,92.001,False,0,901.97,1082.364,270.591,200,False,0
2025-02-17,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.964,101.963,False,0,999.64,1199.568,299.892,200,False,0
2025-02-17,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.593,93.425,False,0,915.93,1099.116,274.779,200,False,0
2025-02-24,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.044,100.005,False,0,980.44,1176.528,294.132,200,False,0
2025-02-24,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.413,93.241,False,0,914.13,1096.956,274.239,200,False,0
2025-03-03,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.487,100.457,False,0,984.87,1181.844,295.461,200,False,0
2025-03-03,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,88.229,89.994,False,0,882.29,1058.748,264.687,200,False,0
2025-03-10,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,101.316,103.342,False,0,1013.16,1215.792,303.948,200,False,0
2025-03-10,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.494,91.284,False,0,894.94,1073.928,268.482,200,False,0
2025-03-17,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,100.168,102.171,False,0,1001.68,1202.016,300.504,200,False,0
2025-03-17,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,88.109,89.871,False,0,881.09,1057.308,264.327,200,False,0
2025-03-24,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.227,100.192,False,0,982.27,1178.724,294.681,200,False,0
2025-03-24,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.271,93.096,False,0,912.71,1095.252,273.813,200,False,0
2025-03-31,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,173.701,177.175,True,0,1737.01,2084.412,521.103,200,False,0
2025-03-31,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,40.896,41.714,True,0,408.96,490.752,122.688,200,False,0
2025-04-07,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,175.566,179.077,True,0,1755.66,2106.792,526.698,200,False,0
2025-04-07,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,40.808,41.624,True,0,408.08,489.696,122.424,200,False,0
2025-04-14,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,100.663,102.676,False,0,1006.63,1207.956,301.989,200,False,0
2025-04-14,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.838,93.675,False,0,918.38,1102.056,275.514,200,False,0
2025-04-21,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.486,100.456,False,0,984.86,1181.832,295.458,200,False,0
2025-04-21,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,88.452,90.221,False,0,884.52,1061.424,265.356,200,False,0
2025-04-28,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,101.101,103.123,False,0,1011.01,1213.212,303.303,200,False,0
2025-04-28,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.344,93.171,False,0,913.44,1096.128,274.032,200,False,0
2025-05-05,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,100.619,102.631,False,0,1006.19,1207.428,301.857,200,False,0
2025-05-05,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.689,93.523,False,0,916.89,1100.268,275.067,200,False,0
2025-05-12,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,98.62,100.592,False,0,986.2,1183.44,295.86,200,False,0
2025-05-12,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.146,90.929,False,0,891.46,1069.752,267.438,200,False,0
2025-05-19,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.093,101.075,False,0,990.93,1189.116,297.279,200,False,0
2025-05-19,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.99,91.79,False,0,899.9,1079.88,269.97,200,False,0
2025-05-26,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.957,101.956,False,0,999.57,1199.484,299.871,200,False,0
2025-05-26,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.515,91.305,False,0,895.15,1074.18,268.545,200,False,0
2025-06-02,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,101.919,103.957,False,0,1019.19,1223.028,305.757,200,False,0
2025-06-02,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,90.676,92.49,False,0,906.76,1088.112,272.028,200,False,0
2025-06-09,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.519,101.509,False,0,995.19,1194.228,298.557,200,False,0
2025-06-09,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.858,93.695,False,0,918.58,1102.296,275.574,200,False,0
2025-06-16,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.595,101.587,False,0,995.95,1195.14,298.785,200,False,0
2025-06-16,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,90.266,92.071,False,0,902.66,1083.192,270.798,200,False,0
2025-06-23,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,99.261,101.246,False,0,992.61,1191.132,297.783,200,False,0
2025-06-23,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,91.338,93.165,False,0,913.38,1096.056,274.014,200,False,0
2025-06-30,SKU-PROMOTED,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,100.742,102.757,False,0,1007.42,1208.904,302.226,200,False,0
2025-06-30,SKU-ADJACENT,Synthetic Brand,Synthetic Beverages,MODERN_TRADE,NORTH,89.293,91.079,False,0,892.93,1071.516,267.879,200,False,0
